TaskID,Input1,Output1_1,Noise1_1,LST
19,-0.7397226,0.022518171,0.3956213,1
19,-0.6972524,0.046393204,0.32311755,1
19,-0.6550942,0.07026801,0.31550103,1
19,-0.61327124,0.09868365,0.3051015,1
19,-0.571826,0.13046809,0.30964214,1
19,-0.53079957,0.16708612,0.37306458,1
19,-0.49023947,0.20853777,0.39474246,1
19,-0.450169,0.2508682,0.48247927,1
19,-0.41062212,0.30081525,0.5498565,1
19,-0.37155107,0.3358221,0.6616147,1
19,-0.33290198,0.37859195,0.7641452,1
19,-0.2945304,0.38562256,0.99278826,1
19,-0.25617263,0.37844557,0.99762183,1
20,-1.6792839,-0.49980158,0.36632687,1
20,-1.6262336,-0.76345146,0.2219053,1
20,-1.5675933,-1.0180199,0.1410527,1
20,-1.5032911,-1.1973019,0.12332956,1
20,-1.4342036,-1.328541,0.11336944,1
20,-1.3611608,-1.4230156,0.11410181,1
20,-1.2854949,-1.4641742,0.111904725,1
20,-1.2091019,-1.4577293,0.11615242,1
20,-1.1336378,-1.4168638,0.122597195,1
20,-1.0605268,-1.3333745,0.12069305,1
20,-0.9910494,-1.210045,0.14281034,1
20,-0.9258471,-1.062987,0.17767073,1
20,-0.86519355,-0.8797504,0.21824351,1
20,-0.809337,-0.65681976,0.28313068,1
20,-0.7574779,-0.49306378,0.32238522,1
20,-0.70863825,-0.3174438,0.39049476,1
20,-0.6630026,-0.07986595,0.4438106,1
20,-0.62032455,0.10981567,0.53037566,1
20,-0.57984895,0.28030926,0.63964385,1
20,-0.5411492,0.4295642,0.689005,1
20,-0.5038261,0.5480601,0.68197435,1
20,-0.46735108,0.6018156,0.75608927,1
20,-0.43116942,0.6073816,0.77073646,1
20,-0.39487055,0.5728139,0.8781006,1
20,-0.35815632,0.51539713,1.0670496,1
20,-0.3207599,0.4280994,1.1355987,1
21,-0.6594154,0.9266907,0.6851967,1
21,-0.6256436,0.8739607,0.5634784,1
21,-0.59146494,0.8231348,0.5489776,1
21,-0.55686176,0.768501,0.45347777,1
21,-0.521797,0.7116697,0.4624126,1
21,-0.48618653,0.6406306,0.48203987,1
